"","Control 2h","Control 2h_2","Control 2h_3","Control 6h_1","Control 6h_2","Control 6h_3","Control 10h_1","Control 10h_2","Control 10h_3","Control 24h_1","Control 24h_2","Control 24h_3","Virus 2h_1","Virus 2h_2","Virus 2h_3","Virus 6h_1","Virus 6h_2","Virus 6h_3","Virus 10h_1","Virus 10h_2","Virus 10h_3","Virus 24h_1","Virus 24h_2","Virus 24h_3"
"NRBP1",93.4323,106.575,90.6145,87.0817,93.1199,85.3764,90.5508,118.1921,106.2174,97.7842,107.785,102.9342,113.4376,113.8938,96.2132,103.5731,115.1323,92.0132,94.1438,109.5959,91.7622,111.5164,118.5487,76.4098
"NRDC",1308.12,1266.28,1390.74,1133.6,1120.05,1228.46,1180.58,1171.37,1157.97,1299.17,1228.92,1329.76,1261.95,1228.24,1347.6,1200.66,1170.6,1271.05,1277.59,1241.79,1190.35,1306.45,1126.23,1249.82
"NRM",89.5315,63.4288,74.3253,77.4637,64.8479,72.153,75.3297,64.7244,65.8815,77.9281,65.2903,81.2009,82.7151,68.5223,78.2181,85.1363,68.6489,70.4884,84.3598,67.2088,81.5125,92.4309,73.5995,104.337
"NS6_WCPV",43.8362,49.2359,53.1718,42.071,43.2523,58.5108,43.7427,53.3223,57.3592,37.4084,46.6528,63.9482,37.2859,49.2675,51.994,62.7409,54.691,71.0567,83.1925,79.3246,99.3491,603.639,512.862,553.89
"NS7A_WCPV",48.3113,62.6929,72.6771,45.5039,66.0859,81.9183,47.857,68.4694,80.2992,51.7933,62.2185,83.8173,50.3512,60.512,91.7409,78.2194,116.705,364.389,229.023,501.303,1367.47,1007.11,1213.49,7616.3
"NS8_WCPV",25.8846,28.012,24.9754,27.4903,29.6791,28.4769,19.9806,31.5524,23.1419,25.8437,23.9517,23.7759,22.3412,32.3259,22.8569,49.7616,99.4114,44.2656,142.19,478.441,123.502,310.95,1099.98,286.65
"NSA2",131.817,126.421,118.298,139.157,143.493,131.632,170.108,163.93,155.416,135.047,131.931,125.08,118.542,114.672,105.749,148.578,138.022,140.005,177.911,182.322,144.966,153.383,161.326,126.63
"NSD2",26.562,25.6655,25.4401,23.363,21.3677,26.1743,20.3161,23.5724,19.2904,20.8387,20.2637,23.1951,21.8696,25.0944,25.5745,19.8701,21.9045,21.6816,24.2855,24.471,24.8428,26.5264,28.3754,26.4552
"NSDHL",1486.27,1358.84,1356.15,1397.39,1320.85,1318.57,1445.82,1298.07,1373.42,1523.45,1434.37,1397.85,1495.44,1398.56,1384.47,1470.58,1361.19,1354.4,1420.66,1330.97,1457.33,1620.71,1508.15,1516.36
"NSF",2801.1447,2848.1675,2847.569,2694.1281,2834.4673,2709.3942,2740.4422,2730.1295,2691.9648,2794.7133,2821.0815,2743.325,2779.6965,2896.3863,2867.1033,2840.7274,2817.3944,2784.979,2864.6289,2900.4233,2640.2961,2782.712,2813.5355,2693.6007
"NSFL1C",1398.07,1294.81,1214.33,1380.82,1298.95,1219.56,1423.51,1329.87,1279.62,1541.93,1390.78,1263.94,1427.73,1247.78,1224.07,1395.83,1302.82,1205.82,1403.08,1327.39,1325.02,1390.68,1351.94,1232.97
"NSRP1",236.445,229.566,237.222,214.308,197.032,205.839,235.709,207.544,216.419,240.362,217.685,226.473,219.025,219.86,221.973,221.927,194.323,207.676,238.335,220.993,217.117,252.377,213.034,208.566
"NSUN2",2126.97,2058.59,2197.81,1979.43,1943.19,1999.59,2111.21,2148.62,2162.48,2175.88,2113.26,2195.03,2154.05,2081.15,2189.06,2110.02,2080.38,2145.84,2200.98,2148.06,2214.6,2403.96,2422.97,2320.78
"NSUN4",244.408,258.524,244.288,231.867,252.032,243.426,252.496,254.506,247.905,252.876,255.127,252.489,270.704,264.541,277.713,253.974,244.311,252.643,265.918,271.038,256.655,246.19,249.805,248.157
"NSUN5",89.9565,89.0441,106.045,83.5388,87.9053,93.8834,99.5312,92.4003,96.9608,97.0533,100.411,103.387,81.1028,79.7761,90.6017,86.408,80.0593,79.6385,97.7308,91.5409,92.6127,103.156,107.599,108.075
"NT5C",206.304,199.523,209.296,204.137,192.582,204.495,225.435,182.099,219.201,228.451,202.345,221.034,198.049,195.023,212.885,212.724,162.265,203.435,223.618,204.855,207.574,201.24,188.212,202.442
"NT5C2",930.783,867.826,919.642,872.684,925.896,886.532,851.865,831.016,826.14,813.591,808.785,820.745,855.075,882.718,884.128,856.605,893.27,870.249,860.351,892.149,878.875,788.424,752.28,760.816
"NT5C3A",1794.156,1727.411,1774.65,1720.05,1735.275,1751.828,1676.122,1604.082,1633.447,1635.239,1563.338,1650.851,1640.024,1646.198,1687.416,1743.817,1652.299,1704.21,1711.298,1713.276,1655.613,1718.922,1693.678,1694.787
"NT5C3B",73.9803,67.8501,97.6752,66.6266,68.869,103.341,68.1973,69.2112,99.1272,69.3492,77.1412,98.0694,68.1102,68.9344,96.8699,72.4223,58.365,91.4123,71.7841,64.9575,94.9513,76.6088,62.5762,86.8475
"NT5DC1",1488.65,1556.19,1475.14,1532.51,1494.27,1407.61,1406.82,1442.61,1369.68,1440.21,1388.35,1347.8,1557.66,1498.58,1451.23,1522.4,1544.93,1436.61,1462.46,1485.18,1458,1622.57,1658.05,1503.12
